,Team,Average Age,Total Payroll Allocations,Active 26-Man,Injured,Retained,Buried,Year,Wins,Losses
0,LAD,29.5,"$350,024,106","$268,807,958","$48,883,969",-,"$1,753,867",2025,93,69
1,MIL,27.4,"$137,618,720","$86,638,816","$15,805,635","$16,600,000","$3,307,850",2025,97,65
2,NYM,29.3,"$342,053,011","$267,754,963","$48,538,020",-,"$19,353,633",2025,83,79
3,CHW,26.4,"$79,960,763","$17,295,751","$41,763,612","$1,504,667","$6,808,578",2025,60,102
4,WSH,26.1,"$109,465,924","$25,303,478","$21,807,496",-,"$1,700,889",2025,66,96
5,MIA,26.3,"$67,794,627","$34,212,751","$7,294,675",-,"$1,820,687",2025,79,83
6,TB,28.0,"$88,629,788","$41,105,049","$9,755,231","$1,000,000","$3,533,960",2025,77,85
7,CLE,26.3,"$100,115,946","$48,604,621","$15,769,560",-,"$11,067,134",2025,88,74
8,ATH,26.9,"$78,384,241","$49,340,255","$15,933,681",-,"$941,654",2025,76,86
9,MIN,27.8,"$129,650,732","$49,351,640","$24,750,911","$225,000","$1,615,943",2025,70,92
10,COL,26.0,"$127,325,786","$60,517,751","$32,700,236","$1,500,000","$5,608,211",2025,43,119
11,BAL,27.3,"$158,571,377","$64,226,457","$29,850,106",-,"$6,713,671",2025,75,87
12,ARI,27.4,"$177,424,443","$68,710,886","$55,771,644","$1,500,000","$2,303,444",2025,80,82
13,CIN,27.6,"$119,036,486","$82,400,075","$6,690,527","$3,000,000","$3,428,787",2025,83,79
14,KC,28.5,"$133,630,058","$86,341,302","$26,724,341","$1,500,000","$2,640,601",2025,82,80
15,PIT,27.3,"$84,423,338","$50,700,867","$2,440,921",-,"$3,956,275",2025,71,91
16,STL,27.1,"$131,152,698","$86,756,503","$19,543,050",-,"$1,293,004",2025,78,84
17,SF,28.4,"$178,562,152","$136,191,076","$7,481,768","$250,000","$3,134,646",2025,81,81
18,LAA,27.5,"$208,420,995","$99,015,619","$88,166,299","$2,000,000","$11,676,458",2025,72,90
19,NYY,29.7,"$304,091,683","$198,430,719","$46,660,521","$5,000,000","$2,827,701",2025,94,68
20,CHC,29.6,"$214,020,073","$177,899,985","$11,051,639","$2,750,000","$4,108,173",2025,92,70
21,SD,29.3,"$223,125,239","$165,519,283","$28,221,328","$6,300,000","$7,365,058",2025,90,72
22,TOR,28.9,"$255,230,406","$160,405,569","$70,568,356",-,"$2,057,492",2025,94,68
23,HOU,28.6,"$232,140,003","$139,280,023","$51,185,631","$701,520","$5,075,621",2025,87,75
24,PHI,30.4,"$293,240,191","$226,763,871","$55,474,994","$3,000,000","$2,359,921",2025,96,66
25,BOS,28.8,"$203,658,855","$129,032,021","$31,081,338","$7,360,000","$3,420,669",2025,89,73
26,ATL,29.5,"$220,223,651","$128,648,209","$68,078,413","$3,500,000","$11,733,626",2025,76,86
27,SEA,28.0,"$165,596,493","$128,418,817","$3,179,691","$1,750,000","$8,432,246",2025,90,72
28,TEX,30.3,"$226,526,491","$113,977,024","$103,593,859",-,"$2,174,353",2025,81,81
29,DET,28.5,"$157,542,361","$106,720,782","$27,908,427","$2,000,000","$4,649,896",2025,87,75
30,CHC,27.9,"$229,567,975","$177,805,468","$10,207,418","$36,617,219","$7,604,537",2024,83,79
31,COL,26.8,"$146,100,965","$79,534,485","$51,060,000","$13,132,583","$2,373,897",2024,61,101
32,LAD,30.4,"$240,240,117","$169,526,771","$37,949,016","$27,706,461","$1,846,901",2024,98,64
33,SF,27.6,"$201,967,381","$102,704,227","$53,113,846","$44,357,646","$1,791,662",2024,80,82
34,PHI,29.0,"$246,299,605","$226,211,338","$3,031,516","$15,356,883","$1,699,868",2024,95,67
35,ATL,30.9,"$236,433,901","$156,338,167","$47,028,814","$29,249,155","$8,417,765",2024,89,73
36,TOR,27.9,"$218,402,819","$132,130,693","$26,456,777","$54,615,363","$5,199,986",2024,74,88
37,TEX,29.4,"$225,545,408","$141,209,070","$70,265,121","$8,523,079","$798,138",2024,78,84
38,HOU,29.2,"$255,271,371","$174,853,862","$45,109,866","$21,665,317","$13,642,326",2024,88,73
39,STL,28.0,"$175,932,759","$112,213,666","$44,602,200","$18,024,055","$1,092,838",2024,83,79
40,CHW,26.1,"$132,497,547","$74,306,691","$8,284,460","$46,893,796","$3,012,600",2024,41,121
41,NYY,29.1,"$308,574,607","$260,231,924","$25,630,756","$19,146,394","$3,565,533",2024,94,68
42,NYM,30.4,"$314,748,899","$186,528,021","$37,578,740","$87,720,420","$3,931,503",2024,89,73
43,BOS,27.5,"$188,537,445","$77,327,289","$76,400,974","$31,745,306","$3,063,876",2024,81,81
44,LAA,27.4,"$172,189,987","$40,083,433","$108,620,160","$18,817,429","$5,873,804",2024,63,99
45,ARI,28.9,"$172,806,829","$134,502,970","$9,600,600","$25,631,063","$3,001,465",2024,89,73
46,CIN,28.3,"$100,254,855","$52,050,116","$22,271,250","$20,560,145","$1,573,344",2024,77,85
47,PIT,27.7,"$84,050,989","$51,220,210","$14,524,211","$15,341,351","$2,965,217",2024,76,86
48,TB,26.8,"$89,707,422","$37,691,876","$13,179,262","$34,675,167","$1,706,572",2024,80,82
49,DET,26.0,"$96,961,614","$33,226,992","$26,677,166","$36,920,494","$1,070,295",2024,86,76
50,CLE,26.3,"$105,224,582","$50,885,032","$21,120,833","$22,945,837","$10,272,880",2024,92,69
51,BAL,28.4,"$109,335,494","$65,994,548","$10,808,540","$30,650,082","$1,882,324",2024,91,71
52,MIL,27.9,"$114,223,379","$71,398,748","$34,433,308","$6,151,779","$2,239,544",2024,93,69
53,SD,30.0,"$170,855,090","$142,394,254","$9,034,386","$19,045,542","$2,437,482",2024,93,69
54,OAK,26.5,"$62,132,581","$28,956,713","$15,581,092","$15,557,073","$1,763,221",2024,69,93
55,WSH,26.9,"$103,945,407","$60,351,144","$26,347,303","$14,212,004","$2,847,990",2024,71,91
56,MIA,26.7,"$96,590,305","$11,473,396","$19,701,083","$64,284,585","$4,131,241",2024,62,100
57,MIN,28.5,"$129,080,051","$102,020,614","$22,053,202","$2,570,833","$2,435,402",2024,82,80
58,SEA,28.5,"$147,930,632","$93,668,820","$29,288,727","$28,968,591","$2,004,494",2024,85,77
