"From                     	                          To","Player  (160)","Pos","Yrs","Value                                                                         $1,466,443,500","AAV                                                                         $6,820,667"
"TOR","George Springer                                                               QO","RF","6","$150,000,000","$25,000,000"
"PHI","J.T. Realmuto                                                               QO","C","5","$115,500,000","$23,100,000"
"LAD","Trevor Bauer                                                               QO","SP","3","$102,000,000","$34,000,000"
"NYY","D.J. LeMahieu                                                               QO","2B/DH","6","$90,000,000","$15,000,000"
"ATL","Marcell Ozuna","DH/LF","4","$65,000,000","$16,250,000"
"CHW","Liam Hendriks","RP/CL","3","$54,000,000","$18,000,000"
"NYM","James McCann","C","4","$40,600,000","$10,150,000"
"LAD","Justin Turner","3B/1B","2","$34,000,000","$17,000,000"
"HOU","Michael Brantley","LF","2","$32,000,000","$16,000,000"
"SD","Ha-seong Kim","2B/SS","4","$28,000,000","$7,000,000"
"PHI","Didi Gregorius","SS","2","$28,000,000","$14,000,000"
"MIL","Jackie Bradley Jr.","CF","2","$24,000,000","$12,000,000"
"HOU","Jake Odorizzi","SP","3","$23,500,000","$7,833,333"
"NYM","Taijuan Walker","SP/SP3","3","$23,000,000","$7,666,667"
"SD","Jurickson Profar","LF","3","$21,000,000","$7,000,000"
"SF","Kevin Gausman                                                               QO","SP/SP2","1","$18,900,000","$18,900,000"
"NYM","Marcus Stroman                                                               QO","SP/SP1","1","$18,900,000","$18,900,000"
"SF","Tommy La Stella","2B","3","$18,750,000","$6,250,000"
"KC","Mike Minor","SP/SP1","2","$18,000,000","$9,000,000"
"TOR","Marcus Semien","2B","1","$18,000,000","$18,000,000"
"MIL","Kolten Wong","2B","2","$18,000,000","$9,000,000"
"LAD","Blake Treinen","RP","2","$17,500,000","$8,750,000"
"KC","Carlos Santana","1B/DH","2","$17,500,000","$8,750,000"
"NYM","Trevor May","RP/CL","2","$15,500,000","$7,750,000"
"ATL","Charlie Morton","SP/SP2","1","$15,000,000","$15,000,000"
"BOS","Enrique Hernandez","SS/OF","2","$14,000,000","$7,000,000"
"MIN","Nelson Cruz","DH","1","$13,000,000","$13,000,000"
"HOU","Pedro Baez","RP","2","$12,500,000","$6,250,000"
"ATL","Drew Smyly","SP","1","$11,000,000","$11,000,000"
"OAK","Trevor Rosenthal","RP","1","$11,000,000","$11,000,000"
